icode,brand,name,discount,old_price,price,qty,scraped_at
14003035,JVC,65型Mini LED TV,66折,29999,19988,44,2026-08-17 14:03:02
10958352,好奇,小森林尿布 (好眠褲/好動褲/黏貼型),82折,1699,1398,2,2026-08-17 14:03:02
14448785,NINJA,夏日無線調理機,69折,2590,1799,100,2026-08-17 14:03:02
12941511,誠漢,有機黑木耳露350mlx40入,33折,2960,999,350,2026-08-17 14:03:02
15542980,石頭科技,F25 Ultra Steam Gen2臂蒸之帝洗地機,44折,39999,17999,50,2026-08-17 14:03:02
13598055,橘子工坊,天然洗衣球162顆,36折,2613,949,498,2026-08-17 14:03:02
14977086,追覓科技,X60 Ultra超薄掃拖旗艦機,48折,57960,27980,30,2026-08-17 14:03:02
15442572,禾聯,14吋奈米銀抑菌DC風扇 HDF-14AH75B,51折,2490,1290,249,2026-08-17 14:03:02
12486897,NEW BALANCENB,373系列_復古鞋(多款任選),48折,2480,1199,299,2026-08-17 14:03:02
15034893,Whirlpool 惠而浦一級能效 12公升極致薄型清新淨味除濕機(WDEE1200TW),Whirlpool 惠而浦一級能效 12公升極致薄型清新淨味除濕機(WDEE1200TW),73折,10490,7690,50,2026-08-17 14:03:02
12798775,ONEHOUSE藤原折疊巨型收納櫃,ONEHOUSE藤原折疊巨型收納櫃,39折,2300,899,149,2026-08-17 14:03:02
13715410,禾聯,6-8坪一級變頻冷暖空調,76折,32600,24900,10,2026-08-17 14:03:02
13531219,CSD中衛,第一級醫療口罩-藍色/綠色/粉色 4盒入(50片/盒),52折,1000,529,995,2026-08-17 14:03:02
14937238,台北茹曦酒店,午/晚餐吃到飽,83折,1298,1088,280,2026-08-17 14:03:02
15081559,希捷,新黑鑽12TB外接硬碟,84折,13990,11790,29,2026-08-17 14:03:02
12928225,Chic Chic 琪琪,獨降180/件★零著感內衣4件(多款選),42折,1680,719,455,2026-08-17 14:03:02
12388977,雪花秀,完美珍珠光氣墊 一盒2蕊,49折,4000,1980,160,2026-08-17 14:03:02
14185560,TOZO,T10S降噪運動立體聲真無線AI智慧藍牙耳機,33折,2699,899,299,2026-08-17 14:03:02
9267042,汪喵星球,TOLI寵物地墊40x40cm*10片,69折,3000,2099,300,2026-08-17 14:03:02
14371825,Relove,胺基酸私密潔淨露3入,38折,3540,1349,196,2026-08-17 14:03:02
15560389,Vermicular,琺瑯鑄鐵玉子燒鍋,67折,5000,3350,21,2026-08-17 14:03:02
15443181,CF Diamond,新品 莫桑鑽碎鑽情侶對戒 共8款,23折,8600,1988,80,2026-08-17 14:03:02
7368842,百佳烘焙,皇家起士條2盒,58折,1200,699,430,2026-08-17 14:03:02
10889088,台酒生技,酒粕精粹青春露5入,33折,3000,1018,249,2026-08-17 14:03:02
11585709,New Choice,綜合堅果桶2入,4折,2800,1138,270,2026-08-17 14:03:02
14175643,THE VEGAN 樂維根,極致植物優蛋白2入組 1KG/袋,62折,2560,1599,200,2026-08-17 14:03:02
6475228,正牛,韓國正宗大理石不沾深炒鍋30cm,39折,1299,519,283,2026-08-17 14:03:02
2322013,康乃馨,純水濕巾24包,48折,1198,579,68,2026-08-17 14:03:02
