icode,brand,name,discount,old_price,price,qty,scraped_at
10334422,瑪莉屋口袋比薩,6吋披薩任選10+1片+100mo,64折,1390,899,269,2026-08-18 21:55:01
15535333,石頭科技,新機上市Qrevo 2 Pro掃拖機,42折,39999,16999,80,2026-08-18 21:55:01
10019468,朵舒,棉仔紙柔韌150抽x84包,46折,1800,829,369,2026-08-18 21:55:01
15351725,中元普渡拜拜箱 好運平安7件組,中元普渡拜拜箱 好運平安7件組,74折,669,499,0,2026-08-18 21:55:01
12988475,HR 赫蓮娜,黑繃帶修護乳霜50ml,46折,31900,14850,46,2026-08-18 21:55:01
14899787,mo select,台灣製316不鏽鋼防滑六角筷10雙,37折,2380,899,86,2026-08-18 21:55:01
13369259,Apple,Apple Watch SE2 GPS 40mm,73折,7900,5799,45,2026-08-18 21:55:01
14268002,TCL,85型MiniLED智慧TV,67折,79990,53900,12,2026-08-18 21:55:01
14794623,Mio,送安裝 前後4K 後視鏡型行車記錄器 R890WD,85折,13988,11988,2,2026-08-18 21:55:01
11545712,NatureMade 萊萃美,葉黃素20毫克複合膠囊150粒,71折,1699,1211,195,2026-08-18 21:55:01
14921076,華碩,14吋Core 7輕薄16G,95折,24999,23999,44,2026-08-18 21:55:01
13352709,Kolin 歌林,四重精濾濾水壺(共1壺13芯),45折,3480,1599,119,2026-08-18 21:55:01
8038349,絲花,化妝棉買7送7囤貨組,58折,662,388,259,2026-08-18 21:55:01
15230014,石頭科技,F25 RT GEN 2小白鯊零纏繞洗地機,41折,16800,6999,35,2026-08-18 21:55:01
14559449,FL 生活+,5開門三層摺疊收納箱,44折,5960,2680,104,2026-08-18 21:55:01
15482275,Gemini 雙星,竹纖維浴巾2入,59折,1426,849,213,2026-08-18 21:55:01
14791054,天仁茗茶,台灣茗賞烏龍茶葉600g,89折,999,890,229,2026-08-18 21:55:01
15172776,Poled,AIRLUV5智能風扇涼感墊,84折,4480,3799,145,2026-08-18 21:55:01
15175989,營養師輕食,台灣01益生菌 5入組(一入30包),65折,10000,6595,295,2026-08-18 21:55:01
9288701,舒酸定,專業修復抗敏牙膏8入,48折,2079,999,224,2026-08-18 21:55:01
9821716,一滴淨蘆薈多酚洗碗精2瓶+2補包,一滴淨蘆薈多酚洗碗精2瓶+2補包,53折,1190,639,281,2026-08-18 21:55:01
14991731,NEW BALANCENB,411+413跑鞋系列_多款任選,52折,2280,1199,179,2026-08-18 21:55:01
14447749,LA NEW,輕量透氣慢跑鞋/運動鞋(男女多款),22折,5380,1188,237,2026-08-18 21:55:01
14504452,OASIS,製冰塊瞬冰溫熱淨飲機,5折,19800,9999,28,2026-08-18 21:55:01
15394907,必勝客,13吋大比薩(10選2),29折,1320,389,356,2026-08-18 21:55:01
