icode,brand,name,discount,old_price,price,qty,scraped_at
14951759,理膚寶水,MELA B3 淡斑精華,36折,10566,3865,200,2026-08-16 00:03:01
14498509,國際牌,65型 4K Google 智慧TV,77折,26900,20888,28,2026-08-16 00:03:01
8811379,國際牌,485公升一級變頻冰箱,77折,27090,20888,45,2026-08-16 00:03:01
14464215,Apple,Apple Watch S11 GPS 46mm,93折,14290,13388,15,2026-08-16 00:03:01
15475571,Samsung 三星,Galaxy A37 5G 6.7吋(8G/256G/Exyno1480/5000萬鏡頭畫素),66折,17990,11890,128,2026-08-16 00:03:01
8054614,LG,PuriCare 360°寵物清淨機二代-單層,65折,25800,16900,49,2026-08-16 00:03:01
10057261,SEAGATE 希捷,One Touch 1TB外接式行動硬碟,62折,3990,2499,30,2026-08-16 00:03:01
4892335,統一LP33,健字號益生菌膠囊30顆*10盒,57折,12000,6888,59,2026-08-16 00:03:01
12249079,3ZeBra 三隻斑馬,好肩力｜斜方肌肩頸按摩器,67折,2980,1999,148,2026-08-16 00:03:01
7389662,大研生醫,視易適葉黃素3入組(30粒/入)-添加蝦紅素.智利酒果.山桑子,41折,5940,2488,150,2026-08-16 00:03:01
15461237,海之醇,2630無膨發剖背蝦仁2包組,47折,2100,999,310,2026-08-16 00:03:01
14107176,DR.WU,角鯊潤澤修復精華油3入,5折,6000,3000,99,2026-08-16 00:03:01
14457766,K.W.,三宅風輕褶衣洋裝(多款任選),33折,2099,699,368,2026-08-16 00:03:01
11593256,日立,4-5坪一級變頻冷暖空調,77折,30590,23590,10,2026-08-16 00:03:01
8531746,朵舒,momoco舒適柔韌150抽x80包,47折,1700,799,498,2026-08-16 00:03:01
11045444,滿意寶寶,寶可夢晚安褲L-XXXL,87折,1257,1099,500,2026-08-16 00:03:01
15316795,GOYARD 高雅德,St. Louis PM 中款 磁吸扣帆布肩背托特包(多色),66折,95000,62888,5,2026-08-16 00:03:01
10362698,花王,NEW柔舒蒸氣眼罩72入,55折,2340,1299,242,2026-08-16 00:03:01
10227181,鍋寶,316不鏽鋼深炒鍋30cm-含蓋,34折,3480,1199,254,2026-08-16 00:03:01
8043545,TIGER 虎牌,買1送1 彈蓋雙層不鏽鋼保溫瓶 500ml(MCT-T050 真空保溫杯/保冰隨行杯),29折,3380,999,150,2026-08-16 00:03:01
15524992,Olitalia 奧利塔,純橄欖油禮盒組6+1瓶,75折,3980,2988,110,2026-08-16 00:03:01
12572924,德國雙人,蝦粉色筷子6雙,25折,1950,499,498,2026-08-16 00:03:01
14472840,礁溪葛瑪蘭之星,雙人一泊二食/四人日式家庭房含早(享房內泡湯),54折,11000,5980,85,2026-08-16 00:03:01
7857623,pidan,豆腐貓砂*4包入,66折,790,525,499,2026-08-16 00:03:01
14195271,營養師輕食,雙苦瓜胜肽膠囊 6入組(一瓶90顆),49折,10140,4975,125,2026-08-16 00:03:01
15563768,Janod,磁鐵遊戲書(22款可選),64折,777,499,300,2026-08-16 00:03:01
10444586,eminent 萬國通路,官方旗艦館 - 28吋前開式行李箱/上掀式可擴充防爆拉鍊箱 KK50-2(多色任選),79折,10880,8688,200,2026-08-16 00:03:01
14848566,24HRS,4件組★經典療癒色無痕內衣,55折,2720,1520,500,2026-08-16 00:03:01
13785659,國際牌,奈米水離子吹風機-迷霧金(WNA9M),7折,6090,4290,69,2026-08-16 00:03:01
15019973,法之羽,黑燦養髮液2入組(升級版),48折,7960,3880,140,2026-08-16 00:03:01
