icode,brand,name,discount,old_price,price,qty,scraped_at
14540656,舒特膚,三酸煥膚嫩亮潔膚露2入,75折,1660,1245,148,2026-08-12 00:03:02
11821954,達摩本草,92%高濃度魚油10入（共1200顆),33折,19000,6399,50,2026-08-12 00:03:02
15209759,石頭科技,Qrevo Edge2掃拖機器人,33折,59999,19999,49,2026-08-12 00:03:02
14085036,LG,13KG直立洗衣機,6折,16490,9999,46,2026-08-12 00:03:02
14411766,安耐曬,金鑽防曬露NA 5X版x2入,47折,1900,909,239,2026-08-12 00:03:02
13364305,精臣,無墨打印藍芽連接多國語言★B21pro標籤機(附貼紙),74折,2800,2090,24,2026-08-12 00:03:02
13091093,UNDER ARMOUR,UA 男 Charged Pursuit 3 慢跑鞋_3024878-002(黑色),28折,2880,830,600,2026-08-12 00:03:02
15437770,飲后,超孅飲6盒(15包/盒),37折,7680,2880,199,2026-08-12 00:03:02
12526823,蒂巴蕾,贈100mo★2件組 無痕無鋼圈內衣,66折,1198,798,399,2026-08-12 00:03:02
13591978,好來,全亮白深導煥白牙膏3入,59折,1407,837,169,2026-08-12 00:03:02
5517245,貝恩,嬰兒柔濕巾24包,53折,2480,1329,399,2026-08-12 00:03:02
15138465,良和時尚珠寶黃金金塊 馬上有錢金塊 (2.00錢±0.01),良和時尚珠寶黃金金塊 馬上有錢金塊 (2.00錢±0.01),92折,41230,37988,20,2026-08-12 00:03:02
15287208,DaoDi,皮革購物登機包45L,17折,5000,888,187,2026-08-12 00:03:02
8476296,Le Creuset,琺瑯鑄鐵鍋巴蒂鍋24cm,34折,11580,3999,197,2026-08-12 00:03:02
8143213,LG,寵物版加強淨化循環扇空氣清淨機(PuriCare360°/AS651DSS0,48折,26800,12900,46,2026-08-12 00:03:02
15175989,營養師輕食,台灣01益生菌 5入組(一入30包),65折,10000,6595,300,2026-08-12 00:03:02
11159057,SANSUI 山水,4-6坪戶外露營專用移動冷氣SAC700,49折,23900,11900,30,2026-08-12 00:03:02
14921074,華碩,15.6吋Core 7輕薄16G,86折,28900,24999,49,2026-08-12 00:03:02
13168108,GreenPan,Mayflower專利鑽石深煎鍋28cm,32折,2790,899,194,2026-08-12 00:03:02
14480853,蘭城晶英酒店,2大3小精緻客房含百匯自助早餐★影城免費看,53折,16949,8999,59,2026-08-12 00:03:02
13316655,大成,香草雞腿排20包組+5包黃金脆皮雞腿排,34折,3500,1220,299,2026-08-12 00:03:02
14636767,ADAM 亞果元素,VIONTA Q 10000mAh 輕巧款自帶線行動電源(CCC認證),57折,1190,690,249,2026-08-12 00:03:02
15035109,Samsung 三星,Galaxy Tab A11+ 11吋 6G/128G Wifi X230 平板電腦,79折,9990,7990,100,2026-08-12 00:03:02
14473107,義美生醫,W PROTEIN濃縮乳清蛋白飲任選4盒(35g*10包/盒),85折,3500,3000,150,2026-08-12 00:03:02
8037995,倍潔雅,花漾柔感150抽x84包,5折,1680,849,495,2026-08-12 00:03:02
12111481,悅氏,light鹼性水600mlx3箱(共72入),38折,1440,548,205,2026-08-12 00:03:02
15254254,RALPH LAUREN,經典大馬刺繡T恤,48折,2680,1288,179,2026-08-12 00:03:02
15210108,Nespresso,膠囊咖啡機Vertuo UP,75折,11600,8800,17,2026-08-12 00:03:02
8275857,希爾思,成貓雞肉7.03公斤,65折,3520,2289,105,2026-08-12 00:03:02
13831690,碧歐斯,新升級金萃黃金精華露3入,32折,2697,879,228,2026-08-12 00:03:02
