icode,brand,name,discount,old_price,price,qty,scraped_at
14130265,東方不敗,折疊電動麻將桌-臥虎藏龍(贈到府安裝+保固+配件),57折,34800,19999,17,2026-08-15 16:00:02
14387367,飛利浦,冰溫熱瞬熱RO飲水機,47折,24900,11900,28,2026-08-15 16:00:02
15557330,Google,Pixel 11 5G 6.3吋(12G/256G),89折,33689,29990,50,2026-08-15 16:00:02
15491007,WMF,義大利製 Ceradur Plus 天然陶瓷不沾深煎鍋(28cm)萬用鍋,35折,8500,2999,21,2026-08-15 16:00:02
14581237,NIKE,P-6000 復古休閒鞋(多款選),47折,3800,1799,190,2026-08-15 16:00:02
14427150,BRITA,MAXTRA PRO濾芯-純淨全效型(6入裝),47折,2100,999,71,2026-08-15 16:00:02
15336298,Shark,TF200 3D雙氣流無葉風扇,8折,9900,7990,32,2026-08-15 16:00:02
15027125,SPORTS RESEARCH,Omega-3 濃縮魚油 1250mg 150粒,84折,2000,1699,195,2026-08-15 16:00:02
10704944,禾聯,10KG直立洗衣機,5折,12900,6499,53,2026-08-15 16:00:02
12963341,TECO 東元,綠光顯塵無線吸塵器XJ2501CB,52折,4990,2599,95,2026-08-15 16:00:02
14991526,dyson,HJ10噴射氣流空氣清淨機,73折,14900,10900,53,2026-08-15 16:00:02
14574912,TIGER 虎牌momo獨家 買1送1 彈蓋雙層不鏽鋼保溫瓶 800ml(MTA-J080輕量手提保溫杯),TIGER 虎牌momo獨家 買1送1 彈蓋雙層不鏽鋼保溫瓶 800ml(MTA-J080輕量手提保溫杯),31折,6000,1888,144,2026-08-15 16:00:02
12842836,葛瑪蘭之星飯店,星苑餐廳★2人早午餐吃到飽(假日不加價),78折,1276,998,308,2026-08-15 16:00:02
13940001,STAUB,圓形鑄鐵鍋10cm雙鍋組,61折,7360,4499,68,2026-08-15 16:00:02
2471656,雅聞倍優,玫瑰洗卸慕絲4入,18折,3500,659,460,2026-08-15 16:00:02
15553458,soundcore,P41i 二合一行動電源降噪藍牙耳機,61折,2890,1790,145,2026-08-15 16:00:02
12746710,巴黎卡詩,黑鑽髮膜買200送210ml,42折,6500,2740,138,2026-08-15 16:00:02
10593568,Aesop,手部清潔露 500ml,81折,1350,1099,264,2026-08-15 16:00:02
15256718,華碩,16吋i5商用16G/W11P,93折,29999,27999,50,2026-08-15 16:00:02
13786270,巧克力雲莊,脆條14入任選2盒組,72折,700,505,183,2026-08-15 16:00:02
14155319,CROSS,xZENDAR買一送一好禮★新品 專櫃頂級小牛皮 肩背包 斜背包 (男女中性包),0.4折,66800,2988,186,2026-08-15 16:00:02
10332074,Astonish 英國潔,銷破百億瓶!全方位清潔3入組,37折,1860,699,470,2026-08-15 16:00:02
14391275,新東陽,豬肉鬆3入,74折,735,549,470,2026-08-15 16:00:02
15513221,FILA,爆款男女運動鞋 慢跑鞋 休閒鞋 (多款任選),33折,2680,899,324,2026-08-15 16:00:02
9929266,m2 美度,超能膠原飲8盒囤貨組(64入),37折,13440,5080,486,2026-08-15 16:00:02
4811545,亞大T8銀耳,冰糖原味白木耳露150gx24入/箱,49折,2400,1188,268,2026-08-15 16:00:02
7704453,Nutram 紐頓,無穀專業理想貓糧5.4kg,56折,2667,1499,88,2026-08-15 16:00:02
11928914,舒主金,加蓋純水濕巾36包,5折,1404,711,351,2026-08-15 16:00:02
